adjudication_id,ems_instruction,escalation
44d749d1e549f8b5,0,1
226f4acb0ace3891,0,1
a395d3d1661ce978,1,2
6b8c9a688aab84b1,1,2
de01f485556d3ecd,1,3
eebcb7d0eb27a153,1,3
0108be5ac29bb62a,1,3
38026814784304a3,1,3
917367bc1922d4c8,1,3
558c717fd7a70540,1,3
1b16d41c4b7ec768,1,3
a470997621276188,1,3
7b9b56cb1171b6d3,1,2
3399a838402e1be4,1,3
68068cfcc2326f60,1,2
c38added1d64ed88,1,3
f6323941bcb7bef7,1,2
87508a350ee8efe3,0,1
841c37b76d8a3ad1,1,3
4c3f4d052a465e13,0,1
a0642110aef4ad1a,1,3
a6c700ad484b58b5,1,3
840c1caad47740f4,1,3
0615f220d47ebc79,1,3
7ca3b74efcb4b3f9,1,3
ca80c594ec30ca66,1,2
e86bccaaadbfe91f,0,1
dd2529b45d38eb76,1,3
e8f07def9ddee972,1,3
3c35eaf9fd382f57,1,3
7e62e6a8098ab4cf,1,3
daf7af0c4b374574,1,3
53694ca04d1d337e,1,3
15c080b1bff6eaf5,1,2
14a870fd89fc7538,1,3
2c08e18b5fd6d5e7,1,3
0df8d63cddca1d8e,1,3
a216ddb9a520b9cd,1,2
b6524653260e6917,1,2
87538a2f11ff212e,1,2
515fe04550816bb2,1,3
5d9c39a2c50b0b41,1,3
314349f8d0ddfbfa,0,1
7cec060ec330b257,1,3
8763921cff14c349,1,3
05faf07a84788e0d,1,2
1222fb3140917806,1,3
e8ac94f8759b544a,1,3
40c592c11c3249ea,1,3
8e6f22a7aeffdaaa,1,3
050e3b5789d35173,1,3
a42fbf6be0c0341a,1,3
8c4f97f827b0ff54,1,3
9737e7ebce1aa419,1,3
ca528d1e0d2576a1,1,3
30a691e8279877b9,1,3
99d39d2f4821df1a,1,2
3e0e7c26590ad38d,1,3
7755e08e30ebe3ae,1,3
52197211db4bf74b,1,3
97d92c5414dbd475,1,3
07163532b09660c1,1,3
b6c465971c474961,1,3
c1ce2b10ee0131bc,1,3
d53c120ca1d67748,1,3
2fe73379744b3954,1,3
b944396b1949067d,1,2
f47e4cd2bfe21ef6,1,3
88c9baf35b188beb,1,2
159305a4c36f3b08,1,3
b0adaceb35d72660,0,1
76fefc46ace9b931,1,3
17c5e65084e7e7ca,1,3
96ffc0a00135212a,1,3
ca2653a884ae7abf,1,2
c84da6b6538fa8d4,1,3
03dda716d821fcb0,1,3
1442fcb6c599ac9c,0,1
a164a5c4395e9cdc,1,3
a0a0b7ba7afb502d,0,1
23cc8f287d007333,1,3
b34917e74f0f8f5e,1,3
92e43dc2c55c9dea,1,3
8f246a90a769c741,1,3
c0ba703fec513038,1,3
3812ece7940ee0e2,1,3
2401c37fe5d53011,0,1
d6496c48339a1285,0,1
6e5a718c01775112,0,1
45e618ea648ef10c,0,1
c80620314aa69727,0,1
126b78d1c9f3b098,1,3
789d4153de17eefd,1,3
8013e689637d39c1,1,3
aaadbed7b9b8fda5,1,3
e43b03148f2f3537,1,3
2229d10b31717b5a,1,3
a7ee6c43be608112,0,1
ad26df153f4b0251,1,3
df5e6cac9dd2f432,1,3
0cc1428264e3da8d,1,3
a9e85b0a65cce06f,0,1
c4f35d022a9fc882,0,1
264269bb2d2b3b68,1,3
39c96039854a754b,1,3
22a0ed0ae18dcaed,0,1
64e153566dd39370,1,3
5a4c8bc42175145b,1,3
6fc38afaca6bc722,1,3
677a94e469495723,1,3
266aea386de4d114,1,3
b98004e512ad7782,1,3
ae081390be5ddcc4,1,3
be6436b184abc6d0,1,3
9ddbb7411c5b571f,1,3
889014330d2361c0,1,3
2452de0afe6f13ae,1,3
1261c804ebd618cf,1,3
4735222e5f3a02ad,1,3
7e9a676aeeb48177,1,3
859966c277f6cccb,1,3
477e7327a0aa4063,1,3
eea4b89971973df5,1,3
900166cbbd373a0f,0,1
0e47850668cf7645,0,1
9da18dd89958c723,1,2
69b6d612c1faf3f6,1,3
c0876bd30422d3f3,1,3
36f885e8b9c91532,1,3
d75afc4f7d8d1538,1,3
0efabac3bb4945e3,1,3
c3ff530539ed81ac,1,3
3aef57dec3b7ec9c,1,3
f2eaefefbbdc9937,1,3
65dc60d7d92ba111,1,3
1991bfc53907dd91,1,3
1db39e1ce690611e,1,2
4590f88a53916c99,1,3
40b0f592721fea4c,1,3
d663a82dc0066dde,1,3
f30f618809eb461c,1,3
cb7ec605a5f1f3c1,1,2
cdea214f29f37dc8,1,3
d182e1d18a162532,1,3
70db9bfd98492ec0,1,3
bfa3eea18a8fe204,1,3
e2ddc3277e8073d0,1,3
c895af57e6c610f9,1,2
aecbe709da66a4d7,1,3
36eb7e715a5d6d29,1,3
a97f47f20620aa13,1,3
ba1f97c8ff5a3208,1,3
73165d16b7fbe230,1,2
f5832eb96ff5d62e,1,2
65732170c5b9ff65,1,2
4c4e87bc752c8f30,1,3
34611ed8ee801e26,1,3
5368209602589552,1,3
2f157bd50a4d2656,1,3
6f0f3002880c3867,1,2
edf04f5f2b3feb78,1,3
e0b7fce6bd3bbf72,1,3
851e6ce872faeb59,1,3
9ffa9b13665e177e,1,3
7a0542464faa197f,1,3
d5174971100e3c1b,1,3
1dfaed7b9d668506,1,3
e1177e1da63b54ce,1,2
69fe2c686e01a1e9,1,3
465a257f6690724a,1,3
d056ff64bdfdb03c,1,2
f2a4fdd4b4f1071b,1,3
445b7ec96765a2d1,1,3
9b2a0ac3c2a364ec,1,2
0682990a126739da,1,2
775735009a1e59e7,1,2
d5d2f7ab28aefd29,1,2
fa9297961b08ce48,1,3
a65bbe31e6f9f59d,1,3
a1d827fc3e0bc260,1,3
e594f7f8229375bb,1,3
79741a12984e61c7,1,3
b514f66da52b2445,1,3
8212682166110606,1,3
d87cedf4f92316e7,1,3
09ad435b31575775,1,2
9bfb09f7379c98b6,1,3
b0d63407fdcd2be2,1,3
11b427ce5ad88bf1,1,3
a57f64169e33aa51,1,2
ebd0974aa310a951,1,3
175ce285d61acece,1,3
65dee4bba74e97bd,1,3
aad7073978f0711e,1,3
227db086d55a5446,1,2
2a39094878571a98,1,3
5168a0b4edfe36f6,1,2
1215eaf5a6b7b2c4,1,3
34dab6b41fae8c2d,1,2
e4a42defb5a06331,1,3
45af06a1bba807e5,1,3
151587fd58fd6139,1,3
ecf9bf129374274f,1,3
7a9711aa77143213,1,3
b2b6748a27ff2ca6,0,1
41c5176d9013615d,0,1
b5714d5f2713f1bc,1,3
9916e461b1f8eeee,1,3
8bde2cfc2c3bc705,1,3
b3cd8644968cb5ea,1,3
fc17e73a6d2ed037,1,3
dea6bb97c5104dc4,1,3
dd340d51686f4caf,1,2
722002218de1d554,1,3
f2748836db2d685b,1,3
8bc86d3b41efaffc,1,3
16453f90c1272371,1,3
948cafd27359a2df,1,2
66bc6abc8cd95619,1,3
423f010a8e92cc1d,1,3
4c44ed1d352afa35,1,3
3998c784f00facb8,1,3
7ea13f5781c55e2c,1,3
fcc0062635bb6dff,1,3
57c1ee0b7ebf4358,1,3
693dd1e65508a329,1,3
9336c1d68a39aff1,1,3
b004b8fb49e4021c,1,2
5b5b9f664411bd4c,1,2
3594d51086200e2b,1,3
3b49f8cf82816fd4,1,2
37c45e5dc87d2166,1,2
c8cc6e3b16c10eb0,1,3
ad01ebb8a1fc53db,1,2
01179f993605f0ee,1,3
cd82499d3d7b0129,1,2
33faa9786d7d9f0d,1,2
991c5be861266438,1,2
7ce79102835a6870,1,3
675eb31a130d7044,1,3
781692ce588f082f,1,3
031055651769451a,1,3
8b7f561fbd4f42fb,1,3
69ee4d445e265f3c,1,3
29bd0882afe02e6a,1,2
3e91f4770972580f,1,2
e91537f6ad343a10,1,2
470e9e66b834aea0,1,2
35b90a8a44ccb126,1,2
eaacada1d3ed5a1b,1,3
f2da7e23ecc5ca69,1,3
2f493bf612d9254f,1,3
505041a4ad17ac3e,1,3
9af79e6894298d54,1,3
7b4c6901b0864a3f,1,3
174b00dd54d365e7,1,3
39fb9dbd1e50ad7a,1,3
3dd548b3b9ffed6d,1,2
b77a93b101fe4a84,1,3
58ae14186d2c2a8a,1,3
12820d70d06d709a,1,3
eb88c90b61aff67c,1,3
c005ad655c51f912,1,3
4ca31b5ffa34d413,1,3
df1f8f5537b563d0,1,3
bfd83c081998b75d,1,3
9697c966a2340bca,1,3
6f6f9553c16ca3e2,1,3
12b6dc06bd21c67c,1,3
5d5da793b086cfb7,1,3
f457fc38a4acea40,1,3
c0ae4b299f548708,1,3
9b86fd284e480ec9,1,3
571fa5174a651f93,1,3
b10f9547e8a6cd82,1,3
5ed8b3a17cc1bea2,1,3
6d45d3b5a8aef560,1,2
7153b14ff3d910ee,1,3
c1a8ca668a8efde3,1,3
ba9836f61ac73179,1,3
1f9ccd6543729325,1,3
7bed25b00b8fa8d6,1,3
3c0ee12189518e51,1,2
bca41751d6a3922c,1,2
c03e4a190fc7565e,1,2
4196cecdcd1c5157,1,2
b534292eaa116007,1,3
2cfd1aaa379ab87e,1,3
a4cb79397a06af57,1,3
57b2715b453dc080,1,3
fe17aab19bda7cc6,1,3
e3fc3562a190e29c,1,2
b5db5054481e9e46,1,2
7341a8605d41114a,1,2
51359d95881f580c,1,3
c8c2e0084a942ed5,1,2
f49ce54bde15f4da,1,3
364473ecb27807a6,1,3
d06628bd3e829836,1,2
3894d3476df2cf86,1,3
0788eecf5af0d265,1,3
68078b6ba22b1eae,1,3
0b341afe11d8a8e2,1,3
ede7797c57ec899d,1,3
63922ba40602655c,1,2
6d6cd3ff64c2e1df,1,2
c5c9b16b41599323,1,3
d825027b2f2894ad,1,3
727c110a697be581,1,3
894d5b789899bb49,1,3
8b508790bb86a0c1,1,3
5a6e4e87c5474642,1,3
a084af299562077c,1,3
d590d06f2570fc17,1,2
5720ab67ad5b5c51,1,3
c0b9c2d5f86fc402,1,3
745b88a3a09771a4,1,3
5baabc604367a8ba,1,2
bc4e03bafce30fcd,1,3
e293e757e0221115,1,3
01e67a791c923a51,1,3
a2ed8e34d286ece7,1,3
b73e63a0babc9005,1,3
6bf051f4ea1c2093,1,2
8bcf8d8de0dd957d,1,3
04957ac439dedaa9,1,3
23077ae6b378897a,1,2
aa962952d7629440,1,2
cbb29ec2f0ac4bf6,1,3
a6ed60bdb03557df,1,3
fc17d6e215fb363a,1,2
03ef4c087925bdb4,1,3
3c44bc6fabd0e6f4,1,3
73cda674aab107d1,1,2
4ca0d83c1a40a57a,1,2
87d5ea4db6aab83d,1,2
bf027f2f73a7f1b7,1,3
f4b0ac1a84858102,1,3
f28068aed42da4c3,1,3
86990ec026595040,1,3
41b8e5879ea97c06,1,3
13d91184d75b19fe,1,3
69e3181267032163,1,3
1ee7cca7f6b6f4f7,1,3
88be5dca05fec2c5,1,3
f20d2eed085b01dd,1,3
cd177d17a62e041c,1,2
a35c2cb0a3da58df,1,3
e784f3832471f290,1,3
cadf322b13e35b85,1,3
0fe6016006ae0346,1,2
f2845ebfebb3cf23,1,3
2a3661ed3a66d38f,1,3
e86ec0c7cb50ba53,1,2
6362dd30d52f1f04,1,2
aadcbbf04c5d7a53,1,3
6040947c8a2eb762,1,3
7834dcd03ad55fdb,1,3
8b611f5d82c0a662,1,2
f04a682f9429bdb8,1,3
0627a1d759deee41,1,3
1dab1150c5c4931a,1,2
030a45f6bc0c04e5,1,3
22bf946d49d0c906,1,3
4466f6e7159cfdde,1,3
7085bd378f2e134b,1,3
89e7277ef3b354a1,1,3
a849858637fbf2eb,1,3
724aca9e58662de2,1,2
e3d13e580eaa5ab9,1,3
f71ac3e33b2c4789,1,2
77a7e870caf61b82,1,2
8e4bfeb2c3b53429,1,3
1ecdf96f87a7c867,1,3
89b8e9beed06df21,1,3
8bbc645f0880cef2,1,3
4a5a7e19e2e1cd90,1,3
7594452b2e13ecc3,1,3
36a3120ca4a7fab3,1,3
0d4ee4fa5c36eb4f,1,2
7217bf12b2e57fdd,1,3
21e480a4b7068c84,1,2
8974124984641138,1,3
55388f8b72097742,1,3
4181a60c83565b0f,1,3
6455cba495b3d0b0,1,3
402de259723a3dac,1,3
03c42d7f6f7e88ce,1,2
917347b10b843c17,1,2
17d943997bdbbd81,1,3
469876f7c2f6d201,1,3
c7c5b0a21a89ad1a,1,2
7f62647de9787c71,1,3
48f60c3d878185b0,1,3
54a0566d630809e3,1,3
e8363fdd9b3d9342,1,3
ed8c02c83be50e1a,1,3
d2a502ea8b1581a3,1,3
98dc25a74c797d07,1,3
3cfc443960bfefaa,1,2
c6ea68d225856dc9,1,3
8b47a30b618599c8,1,2
f951f46d7b47a74b,1,3
1e089c905db705fc,1,3
e5d0fb058e892404,1,3
f1d28cf899f48910,1,3
e879fae7326bb4db,1,3
de301cff33fbd13c,1,3
e8b17159113d930c,1,2
a6ebfcb841a198b5,1,3
00dbd547905b9a18,1,3
00b1fd9aef09c900,1,3
4b72254aefe4dee1,1,2
4276c210be5bb69a,1,3
5dd5f04bc8fc7a4e,1,2
7f39207b563d1180,1,3
1fe6c16def11da55,1,3
03ac70484715fa2f,1,3
da2a4b9323bb7682,1,3
2320cde02bb1d06d,1,3
f7145fd76dba3d73,1,3
c8e55e5bd0906965,1,2
07d9a19a8aec0115,1,3
6f23346151c7a84a,1,3
ef85e26941dbee72,1,3
af8fe07e23ebf3d1,1,3
207777fcaab49b6b,1,3
41c20eaa24fd8650,1,2
565e9041969dc5ed,1,3
6af06f354c32f0cf,1,3
cc77cc818469505a,1,2
8b84b631c11c6ade,1,2
35045ffe275445a6,1,3
1575c22fd14f3e59,1,3
e69533e98f69951c,1,2
08d7ddc70b7e1649,1,2
db409c22652c8871,1,2
54aab83fe68cee99,1,3
11e1ed0e7f09a002,1,2
5d9e53d2334faea7,1,3
4aa7faede98c55cd,1,3
1c982aea82f12457,1,3
d76c5af0d275a528,1,3
f1d00a9de0b9fe44,1,3
bd326f0ea2739497,1,2
9e1c937cd90b726f,1,2
56fa3b86433f2658,1,3
97737e4b1c414de7,1,3
b088ef62245d8521,1,3
4b9c0b227f475b1d,1,3
b9f1599f1752e4dd,1,2
c66312a42d0cf0ce,1,3
871150197226855e,1,2
b56b9c3a78e908b3,1,3
bd65900563fcf81d,1,2
992c919d151fe338,1,3
979e3ab5d43aeba4,1,3
3ed671bd268e5294,1,2
da558fc86fb8843a,1,3
262b18de9bd25a21,1,2
4ac52b9837369da5,1,3
65cdea3e321a24d0,1,3
5025610090980e72,1,3
6cf768d064f5f040,1,3
9e2b91505884a7d1,1,3
fb57c299a9a6ee5a,1,2
30bec2e250da342c,1,3
9fa1530628dae9e2,1,3
445ccda50c008a52,1,3
c5f47aa24bb14999,1,3
02149b54a0fa8379,1,2
a47db0d3d84da801,1,3
86f2b8e347b95935,1,3
867accdd0ea2ef53,1,2
0d1c5ef8ab141c79,1,2
772284c96f5ec44a,1,3
5657825b08f7e7d3,1,3
4999f8500e07581d,1,3
a0ba9e3aedebf9ee,1,2
651f3e479cb3cded,1,2
796f0eb7682e1b96,1,3
fe9c059ee83f4cab,1,2
468c8ad690d21ec6,1,3
4892c94e0579c3f5,1,2
b3d528cc8047a340,1,2
82288943369b6bc7,1,3
