model_key,relationship,certainty,n,within_10_yes,raw_probability,adjusted_probability,se,ci_low,ci_high
claude-sonnet-5,boyfriend,1,146,0,0.0,-0.012264326978265357,0.006332512039744808,-0.024676050576165183,0.00014739661963446803
claude-sonnet-5,boyfriend,2,240,21,0.0875,0.08749999999999952,0.020663023432823904,0.04700047407166467,0.12799952592833438
claude-sonnet-5,boyfriend,3,240,160,0.6666666666666666,0.666666666666669,0.02760534657087049,0.6125601873877629,0.7207731459455751
claude-sonnet-5,boyfriend,4,240,226,0.9416666666666667,0.9416666666666644,0.015089962365939947,0.9120903404294222,0.9712429929039067
claude-sonnet-5,dad,1,236,2,0.00847457627118644,0.00855977885494296,0.0075842437671792065,-0.006305338928728284,0.023424896638614204
claude-sonnet-5,dad,2,240,134,0.5583333333333333,0.5583333333333285,0.024213957173384072,0.5108739772734957,0.6057926893931612
claude-sonnet-5,dad,3,240,174,0.725,0.7249999999999993,0.025996123425050904,0.6740475980868995,0.7759524019130991
claude-sonnet-5,dad,4,240,229,0.9541666666666667,0.9541666666666608,0.01427971411127825,0.9261784270085555,0.9821549063247662
claude-sonnet-5,daddy,1,239,20,0.08368200836820083,0.08374758453684944,0.018667328522957327,0.047159620631853076,0.1203355484418458
claude-sonnet-5,daddy,2,240,172,0.7166666666666667,0.7166666666666659,0.02648779142308805,0.6647505954774133,0.7685827378559185
claude-sonnet-5,daddy,3,240,226,0.9416666666666667,0.9416666666666673,0.015536391630847076,0.911215339070207,0.9721179942631276
claude-sonnet-5,daddy,4,240,237,0.9875,0.9874999999999963,0.008409366842421965,0.9710176409888492,1.0039823590111434
claude-sonnet-5,girlfriend,1,112,0,0.0,-0.025908803700079433,0.011152187818112617,-0.04776709182358016,-0.004050515576578706
claude-sonnet-5,girlfriend,2,240,27,0.1125,0.1125000000000011,0.019328214574240627,0.07461669943448948,0.15038330056551272
claude-sonnet-5,girlfriend,3,240,189,0.7875,0.7875000000000034,0.02417333322920485,0.7401202668707619,0.8348797331292449
claude-sonnet-5,girlfriend,4,240,236,0.9833333333333333,0.9833333333333321,0.010036520674267678,0.9636617528117674,1.0030049138548967
claude-sonnet-5,husband,1,193,0,0.0,0.009493405017756612,0.0054208447860166565,-0.0011314507628360348,0.02011826079834926
claude-sonnet-5,husband,2,240,90,0.375,0.37500000000000255,0.02441295081283511,0.32715061640684573,0.4228493835931594
claude-sonnet-5,husband,3,240,202,0.8416666666666667,0.8416666666666719,0.021418414527583855,0.7996865741926076,0.8836467591407362
claude-sonnet-5,husband,4,240,228,0.95,0.9499999999999996,0.013027678397881907,0.9244657503401511,0.9755342496598481
